('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:45', '2020-11-01T03:42:31+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:45', '2020-11-01T03:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:45', '2020-11-01T03:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:45', '2020-11-01T03:43:07+00:00', 'Podium CP', 90, 17, 'Static', '3:45', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '3:45', '2020-11-01T03:44:44+00:00', 'Avon Street CP', 0, 0, 'Static', '3:45')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '3:55', '2020-11-01T03:42:31+00:00', 'Newbridge P+R', 0, 0, 'Static', '3:55', '2020-11-01T03:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '3:55', '2020-11-01T03:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '3:55', '2020-11-01T03:43:07+00:00', 'Podium CP', 90, 17, 'Static', '3:55', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '3:55', '2020-11-01T03:44:44+00:00', 'Avon Street CP', 0, 0, 'Static', '3:55')
('2020-11-01T03:00:00+00:00', 'Odd Down P+R', -42, -3, 'Emptying', '4:05', '2020-11-01T03:59:30+00:00', 'Newbridge P+R', 0, 0, 'Static', '4:05', '2020-11-01T03:55:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:05', '2020-11-01T03:55:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:05', '2020-11-01T03:58:06+00:00', 'Podium CP', 90, 17, 'Static', '4:05', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:05', '2020-11-01T03:59:30+00:00', 'Avon Street CP', 0, 0, 'Static', '4:05')
('2020-11-01T04:06:00+00:00', 'Odd Down P+R', 4, 0, 'Emptying', '4:15', '2020-11-01T04:12:22+00:00', 'Newbridge P+R', 4, 1, 'Filling', '4:15', '2020-11-01T04:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:15', '2020-11-01T04:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:15', '2020-11-01T04:13:05+00:00', 'Podium CP', 90, 17, 'Static', '4:15', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:15', '2020-11-01T04:14:36+00:00', 'Avon Street CP', 40, 6, 'Filling', '4:15')
('2020-11-01T04:06:00+00:00', 'Odd Down P+R', 4, 0, 'Emptying', '4:25', '2020-11-01T04:12:22+00:00', 'Newbridge P+R', 4, 1, 'Filling', '4:25', '2020-11-01T04:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:25', '2020-11-01T04:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:25', '2020-11-01T04:13:05+00:00', 'Podium CP', 90, 17, 'Static', '4:25', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:25', '2020-11-01T04:14:36+00:00', 'Avon Street CP', 40, 6, 'Filling', '4:25')
('2020-11-01T04:30:00+00:00', 'Odd Down P+R', 3, 0, 'Emptying', '4:35', '2020-11-01T04:29:22+00:00', 'Newbridge P+R', 4, 1, 'Static', '4:35', '2020-11-01T04:25:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:35', '2020-11-01T04:25:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:35', '2020-11-01T04:28:04+00:00', 'Podium CP', 90, 17, 'Static', '4:35', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:35', '2020-11-01T04:29:22+00:00', 'Avon Street CP', 40, 6, 'Static', '4:35')
('2020-11-01T04:30:00+00:00', 'Odd Down P+R', 3, 0, 'Emptying', '4:45', '2020-11-01T04:44:54+00:00', 'Newbridge P+R', 4, 1, 'Static', '4:45', '2020-11-01T04:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:45', '2020-11-01T04:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:45', '2020-11-01T04:43:30+00:00', 'Podium CP', 91, 17, 'Static', '4:45', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:45', '2020-11-01T04:44:54+00:00', 'Avon Street CP', 40, 6, 'Static', '4:45')
('2020-11-01T04:30:00+00:00', 'Odd Down P+R', 3, 0, 'Emptying', '4:55', '2020-11-01T04:44:54+00:00', 'Newbridge P+R', 4, 1, 'Static', '4:55', '2020-11-01T04:40:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '4:55', '2020-11-01T04:40:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '4:55', '2020-11-01T04:43:30+00:00', 'Podium CP', 91, 17, 'Static', '4:55', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '4:55', '2020-11-01T04:44:54+00:00', 'Avon Street CP', 40, 6, 'Static', '4:55')
('2020-11-01T04:30:00+00:00', 'Odd Down P+R', 3, 0, 'Emptying', '5:05', '2020-11-01T04:59:40+00:00', 'Newbridge P+R', 4, 1, 'Static', '5:05', '2020-11-01T04:55:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '5:05', '2020-11-01T04:55:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '5:05', '2020-11-01T04:58:09+00:00', 'Podium CP', 91, 17, 'Static', '5:05', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '5:05', '2020-11-01T04:59:40+00:00', 'Avon Street CP', 40, 6, 'Static', '5:05')
('2020-11-01T04:30:00+00:00', 'Odd Down P+R', 3, 0, 'Emptying', '5:15', '2020-11-01T05:12:13+00:00', 'Newbridge P+R', 4, 1, 'Static', '5:15', '2020-11-01T05:10:00+00:00', 'SouthGate Rail CP', 7, 5, 'Static', '5:15', '2020-11-01T05:10:00+00:00', 'SouthGate General CP', 131, 18, 'Static', '5:15', '2020-11-01T05:13:10+00:00', 'Podium CP', 91, 17, 'Static', '5:15', '2020-11-01T03:09:59+00:00', 'Charlotte Street CP', 615, 58, 'Emptying', '5:15', '2020-11-01T05:14:27+00:00', 'Avon Street CP', 40, 6, 'Static', '5:15')
